Name,Artist,Album,Popularity,Duration_ms
Survival,Muse,The 2nd Law,51,257466
Prelude,Muse,The 2nd Law,40,57920
Supremacy,Muse,The 2nd Law,57,295373
By And Down The River,A Perfect Circle,Eat The Elephant,0,304906
Delicious,A Perfect Circle,Eat The Elephant,0,229506
Paper Planes,M.I.A.,Kala,11,205200
Redbone,Childish Gambino,"""Awaken, My Love!""",0,326933
Feels Like Summer,Childish Gambino,Summer Pack,66,297404
Baby I'm Yours,Breakbot,By Your Side,63,215506
All About Us,t.A.T.u.,Dangerous and Moving,57,180960
Hideaway,Dan Owen,Hideaway,0,215270
Afraid,Anavae,Afraid,0,218400
Supermassive Black Hole,Muse,Black Holes and Revelations,77,212439
No Good,KALEO,No Good,47,234240
I’m So Sorry,Imagine Dragons,Smoke + Mirrors,59,230200
Uprising,Muse,The Resistance,74,304840
Breakfast In America - 2010 Remastered,Supertramp,Breakfast In America (Remastered),49,159346
Goodbye Stranger - 2010 Remastered,Supertramp,Breakfast In America (Remastered),41,350573
Cold Wind Blows,Eminem,Recovery,0,303733
Fisherman's Friend,Manwolves,A Safety Meeting,0,289629
One More Time,Daft Punk,Discovery,75,320357
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Daft Punk,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],77,248413
"Harder, Better, Faster, Stronger",Daft Punk,Discovery,70,226413
Instant Crush (feat. Julian Casablancas),Daft Punk,Random Access Memories,74,337560
Around the World,Daft Punk,Homework,71,429533
Digital Love,Daft Punk,Discovery,66,301373
Veridis Quo,Daft Punk,Discovery,70,345186
Cooler Than Me,Lucky Luke,Cooler Than Me,0,208278
Later Bitches,The Prince Karma,Later Bitches,0,247976
Time is Running Out,Muse,Absolution,5,237039
Trouble,Coldplay,Parachutes,70,273426
Violet Hill,Coldplay,Viva La Vida (Prospekt's March Edition),43,222653
The Scientist,Coldplay,A Rush of Blood to the Head,84,309600
42,Coldplay,Viva La Vida (Prospekt's March Edition),31,237400
The Morning,The Weeknd,Trilogy,62,312426
Easy,Mac Ayres,Drive Slow,59,314357
Wasted,Kasabian,For Crying Out Loud (Deluxe),45,247306
Song to Say Goodbye,Placebo,Meds,0,216186
Feel Good Inc.,Gorillaz,Demon Days,84,222640
On Melancholy Hill,Gorillaz,Plastic Beach,78,233866
Billie Jean,Michael Jackson,Thriller 25 Super Deluxe Edition,76,293826
The Bitter End,Placebo,Sleeping With Ghosts,1,190573
Special Needs,Placebo,Sleeping With Ghosts,0,315986
Snow (Hey Oh),Red Hot Chili Peppers,Stadium Arcadium,77,334666
Creep,Radiohead,Pablo Honey,28,238640
Fly Away,Lenny Kravitz,5,74,221332
Black,Pearl Jam,Ten,0,343666
Zombie,The Cranberries,20th Century Masters - The Millennium Collection: The Best Of The Cranberries,46,307440
Happy Together,The Turtles,Happy Together,73,176293
California Dreamin',The Mamas & The Papas,The Ultimate Collection,0,159333
Somebody Told Me,The Killers,Hot Fuss,55,197280
Hey Jude - Remastered 2015,The Beatles,1 (Remastered),68,425653
I Write Sins Not Tragedies,Panic! At The Disco,A Fever You Can't Sweat Out,71,186634
Come Together - Remastered,The Beatles,Abbey Road (Remastered),0,259946
21 Guns,Green Day,21st Century Breakdown,73,321093
Love Hurts,Incubus,Light Grenades,55,237066
Kansas,Gorillaz,The Now Now,51,248493
Electric Love,BØRNS,Dopamine,76,218106
Pyro,Kings of Leon,Come Around Sundown,0,250533
I Wanna Be Yours,Arctic Monkeys,AM,90,183956
Knee Socks,Arctic Monkeys,AM,73,257563
Four Out Of Five,Arctic Monkeys,Tranquility Base Hotel & Casino,58,312346
505,Arctic Monkeys,Favourite Worst Nightmare,84,253586
Too Afraid To Love,The Black Keys,Brothers (Deluxe Edition),0,204733
Psychotic Girl,The Black Keys,Attack & Release,0,250706
"""99""",Barns Courtney,“99”,43,199413
Fever,The Black Keys,Fever,40,246306
idontwannabeyouanymore,Billie Eilish,dont smile at me,78,203569
Roll in Peace (feat. XXXTENTACION),Kodak Black,Project Baby 2: All Grown Up,72,213132
bellyache,Billie Eilish,Bellyache,76,179172
Revenge,XXXTENTACION,17,85,120026
bury a friend,Billie Eilish,bury a friend,0,193143
